ORAN;DURUM;PROGRAM
2;PASİF;SİYASET BİLİMİ VE KAMU YÖNETİMİ                                                                     
2;PASİF;SAĞLIK KURUMLARI İŞLETMECİLİĞİ                                                                      
2;PASİF;LABORANT VE VETERİNER SAĞLIK                                                                        
2;PASİF;SOSYAL HİZMETLER                                                                                    
2;PASİF;ADALET                                                                                              
2;PASİF;BİLGİSAYAR PROGRAMCILIĞI                                                                            
2;PASİF;RADYO VE TELEVİZYON PROGRAMCILIĞI                                                                   
2;PASİF;MUHASEBE VE VERGİ UYGULAMALARI                                                                      
2;PASİF;ADALET                                                                                              
2;PASİF;SAĞLIK KURUMLARI İŞLETMECİLİĞİ                                                                      
2;PASİF;RADYO VE TELEVİZYON PROGRAMCILIĞI                                                                   
2;PASİF;SOSYAL HİZMETLER                                                                                    
2;PASİF;ADALET                                                                                              
2;PASİF;TARIM TEKNOLOJİSİ                                                                                   
2;PASİF;RADYO VE TELEVİZYON PROGRAMCILIĞI                                                                   
2;PASİF;MUHASEBE VE VERGİ UYGULAMALARI                                                                      
2;PASİF;ADALET                                                                                              
2;PASİF;İLAHİYAT                                                                                            
2;PASİF;WEB TASARIMI VE KODLAMA                                                                             
2;PASİF;WEB TASARIMI VE KODLAMA                                                                             
2;PASİF;EMLAK YÖNETİMİ                                                                                      
2;PASİF;WEB TASARIMI VE KODLAMA                                                                             
2;PASİF;WEB TASARIMI VE KODLAMA                                                                             
2;PASİF;WEB TASARIMI VE KODLAMA                                                                             
2;PASİF;ADALET                                                                                              
2;PASİF;ADALET                                                                                              
3;AKTİF;SAĞLIK KURUMLARI İŞLETMECİLİĞİ                                                                      
3;AKTİF;MALİYE                                                                                              
3;AKTİF;YEREL YÖNETİMLER                                                                                    
3;AKTİF;İŞ SAĞLIĞI VE GÜVENLİĞİ                                                                             
3;AKTİF;BİLGİSAYAR PROGRAMCILIĞI                                                                            
3;AKTİF;LABORANT VE VETERİNER SAĞLIK                                                                        
3;AKTİF;SPOR YÖNETİMİ                                                                                       
3;AKTİF;ADALET                                                                                              
3;AKTİF;SAĞLIK KURUMLARI İŞLETMECİLİĞİ                                                                      
3;AKTİF;MALİYE                                                                                              
3;AKTİF;FELSEFE                                                                                             
3;AKTİF;İŞ SAĞLIĞI VE GÜVENLİĞİ                                                                             
3;AKTİF;BİLGİSAYAR PROGRAMCILIĞI                                                                            
3;AKTİF;LABORANT VE VETERİNER SAĞLIK                                                                        
3;AKTİF;İLAHİYAT                                                                                            
3;AKTİF;WEB TASARIMI VE KODLAMA                                                                             
3;AKTİF;SAĞLIK KURUMLARI İŞLETMECİLİĞİ                                                                      
3;AKTİF;MALİYE                                                                                              
3;AKTİF;ACİL DURUM VE AFET YÖNETİMİ                                                                         
3;AKTİF;İŞ SAĞLIĞI VE GÜVENLİĞİ                                                                             
3;AKTİF;BİLGİSAYAR PROGRAMCILIĞI                                                                            
3;AKTİF;LABORANT VE VETERİNER SAĞLIK                                                                        
3;AKTİF;TIBBİ DOKÜMANTASYON VE SEKRETERLİK                                                                  
3;AKTİF;WEB TASARIMI VE KODLAMA                                                                             
3;AKTİF;SAĞLIK KURUMLARI İŞLETMECİLİĞİ                                                                      
3;AKTİF;HALKLA İLİŞKİLER VE REKLAMCILIK                                                                     
3;AKTİF;TIBBİ DOKÜMANTASYON VE SEKRETERLİK                                                                  
3;AKTİF;ADALET                                                                                              
3;AKTİF;ENGELLİ BAKIMI VE REHABİLİTASYON                                                                    
3;AKTİF;LABORANT VE VETERİNER SAĞLIK                                                                        
3;AKTİF;ÇALIŞMA EKONOMİSİ VE ENDÜSTRİ İLİŞKİLERİ                                                            
3;AKTİF;ADALET                                                                                              
3;AKTİF;ELEKTRİK ENERJİSİ ÜRETİM İLETİM VE DAĞITIMI
3;AKTİF;HALKLA İLİŞKİLER VE REKLAMCILIK                                                                     
3;AKTİF;TURİZM İŞLETMECİLİĞİ                                                                                
3;AKTİF;SİYASET BİLİMİ VE KAMU YÖNETİMİ                                                                     
3;AKTİF;TARIM TEKNOLOJİSİ                                                                                   
3;AKTİF;LABORANT VE VETERİNER SAĞLIK                                                                        
