word,count
sahi,24
sırasında,24
böylesine,24
toprak,24
çekip,24
herif,24
muhtemelen,24
gözlerimin,24
taşı,24
yanındaki,24
ilgiyle,24
kadını,24
hıristiyan,24
öfkeyle,24
biliyorum,24
eser,24
evgenianm,24
ediyordu,24
hükümdar,24
biliyorsunuz,24
misin,24
karşın,24
tahta,24
gitmiş,24
gerekli,24
bulduk,24
korku,24
musun,24
görmek,24
yineledi,24
kızı,24
haberi,24
gösterdiği,24
bakarken,24
âna,24
çevirdim,24
zarar,24
beyazıt,24
istanbulu,24
yardımcımın,24
kimsenin,24
alman,23
güçlükle,23
bulut,23
geçirmek,23
sonya,23
bulduğumuz,23
ilginç,23
kapısına,23
oldukça,23
masasının,23
adamların,23
gözlerle,23
annem,23
gösterdim,23
buradan,23
odasına,23
eder,23
aliyi,23
dikilen,23
hafifçe,23
yapma,23
bence,23
öfke,23
geliyordu,23
olduğuna,23
ünlü,23
kilise,23
ertesi,23
olası,23
güneş,23
arasına,23
mü,23
açıldı,23
ok,23
yöne,23
dönerek,23
görmüş,23
kontes,23
minibüsün,23
kişiyi,23
bazen,23
şadan,23
çıkar,23
adımlarla,23
canım,23
günde,23
eminim,23
üst,23
ölümü,23
açılmış,23
ordusu,23
aklına,23
denizden,23
yanı,23
gidip,23
soruyu,23
bakma,23
yapıyor,23
minibüs,23
gerçeği,23
sesleri,23
muydu,23
olsaydı,23
özür,23
geldiği,23
yardımcı,23
adama,22
sonucu,22
düşen,22
sizden,22
kanlı,22
gülümsedi,22
bakan,22
bekleyen,22
şeye,22
istiyorum,22
goethe,22
nefes,22
zamanı,22
durumda,22
geçerken,22
gözlerinin,22
handanın,22
bilmem,22
söyledim,22
halk,22
surlar,22
oturduğu,22
gidiyor,22
ayak,22
gözlerine,22
kendisinden,22
değerli,22
olmadan,22
çalışıyor,22
istiyordum,22
yaptığını,22
elli,22
alt,22
konuşuyordu,22
rahatsız,22
yahu,22
keskin,22
atatürk,22
gözlerinden,22
hafta,22
kadının,22
başa,22
serüven,22
aramızda,22
üstünde,22
sıkı,22
açıp,22
geldiniz,22
rouget,22
ölmüş,22
sikkenin,22
kaplı,22
lenin,22
yükselen,22
ciddi,22
açılan,22
elbette,22
imparatorluğun,21
isterseniz,21
ey,21
i,21
yazı,21
güven,21
kablonun,21
namıkın,21
alaycı,21
cinayeti,21
alay,21
başarıyla,21
yıldan,21
üstüne,21
askerler,21
yitirmiş,21
kızım,21
meraklı,21
yaptım,21
başladım,21
zamanki,21
kokusu,21
ruh,21
sonsuzca,21
duygu,21
sağlam,21
giden,21
tehlikeli,21
hali,21
tersine,21
düşmüş,21
prusya,21
haline,21
barış,21
konuşmak,21
